"CASNo","Chemicals","Legislation"
"57-57-8","Trichloromethane (Chloroform)","SDWA"
"631-64-1","Dibromoacetic acid","SDWA"
"7440-28-0","127. Thallium","CWA"
"88-06-2","21. 2,4,6-trichlorophenol","CWA"
"100-02-7","58. 4-nitrophenol","CWA"
"100-41-4","38. Ethylbenzene","CWA"
"100-42-5","Styrene","SDWA"
"10025-85-1","Trichloramine","SDWA"
"10049-04-04","Chlorine dioxide (as ClO2)","SDWA"
"101-55-3","41. 4-bromophenyl phenyl ether","CWA"
"1024-57-3","101. Heptachlor epoxide","CWA"
"103-23-1","Di(2-ethylhexyl) adipate","SDWA"
"1031-07-08","97. Endosulfan sulfate","CWA"
"105-67-9","34. 2,4-dimethylphenol","CWA"
"10599-90-3","Chloroamine","SDWA"
"106-46-7","27. 1,4-dichlorobenzene","CWA"
"106-89-8","Epichlorohydrin","SDWA"
"106-93-4","Ethylene dibromide","SDWA"
"107-02-8","2. Acrolein","CWA"
"107-06-2","10. 1,2-dichloroethane","CWA"
"107-13-1","3. Acrylonitrile","CWA"
"108-60-1","42. Bis(2-chloroisopropyl) ether","CWA"
"108-88-3","86. Toluene","CWA"
"108-90-7","7. Chlorobenzene","CWA"
"108-95-2","65. Phenol","CWA"
"110-75-8","19. 2-chloroethyl vinyl ethers","CWA"
"11096-82-5","111. PCB-1260 (Arochlor 1260)","CWA"
"11097-69-1","107. PCB-1254 (Arochlor 1254)","CWA"
"111-44-4","18. Bis(2-chloroethyl) ether","CWA"
"111-91-1","43. Bis(2-chloroethoxy) methane","CWA"
"11104-28-2","108. PCB-1221 (Arochlor 1221)","CWA"
"11141-16-5","109. PCB-1232 (Arochlor 1232)","CWA"
"117-81-7","66. Bis(2-ethylhexyl) phthalate","CWA"
"117-84-0","69. Di-n-octyl phthalate","CWA"
"118-74-1","9. Hexachlorobenzene","CWA"
"120-12-7","78. Anthracene","CWA"
"120-82-1","8. 1,2,4-trichlorobenzene","CWA"
"120-83-2","31. 2,4-dichlorophenol","CWA"
"121-14-2","35. 2,4-dinitrotoluene","CWA"
"122-34-9","Simazine","SDWA"
"122-66-7","37. 1,2-diphenylhydrazine","CWA"
"124-48-1","51. Chlorodibromomethane","CWA"
"124-48-1","Dibromochloromethane (Chlorodibromomethane)","SDWA"
"12674-11-2","112. PCB-1016 (Arochlor 1016)","CWA"
"127-18-4","85. Tetrachloroethylene","CWA"
"12767-79-2","110. PCB-1248 (Arochlor 1248)","CWA"
"12789-03-06","91. Chlordane","CWA"
"129-00-0","84. Pyrene","CWA"
"131-11-3","71. Dimethyl phthalate","CWA"
"1332-21-4","116. Asbestos","CWA"
"145-73-3","Endothall","SDWA"
"14797-65-0","Nitrite (measured as Nitrogen)","SDWA"
"14998-27-7","Chlorite","SDWA"
"15541-45-4","Bromate","SDWA"
"156-59-2","cis-1,2-Dichloroethylene","SDWA"
"156-60-5","30. 1,2-trans-dichloroethylene","CWA"
"1563-66-2","Carbofuran","SDWA"
"15972-60-8","Alachlor","SDWA"
"16984-48-8","Fluoride","SDWA"
"1746-01-06","129. 2,3,7,8-TCDD","CWA"
"191-24-2","79. Benzo(ghi) perylene","CWA"
"1912-24-9","Atrazine","SDWA"
"1918-02-01","Picloram","SDWA"
"193-39-5","83. Indeno (1,2,3-cd) pyrene","CWA"
"205-99-2","74. Benzo(b) fluoranthene","CWA"
"206-44-0","39. Fluoranthene","CWA"
"207-08-9","75. Benzo(k) fluoranthene","CWA"
"208-96-8","77. Acenaphthylene","CWA"
"218-01-09","76. Chrysene","CWA"
"23135-22-0","Oxamyl (Vydate)","SDWA"
"309-00-2","89. Aldrin","CWA"
"319-84-6","102. Alpha-BHC","CWA"
"319-85-7","103. Beta-BHC","CWA"
"319-86-8","105. Delta-BHC","CWA"
"33213-65-9","96. Beta-endosulfan","CWA"
"473-29-0","Dichloramine","SDWA"
"50-29-3","92. 4,4-DDT","CWA"
"50-32-8","73. Benzo(a) pyrene","CWA"
"51-28-5","59. 2,4-dinitrophenol","CWA"
"53-70-3","82. Dibenzo(,h) anthracene","CWA"
"534-52-1","60. 4,6-dinitro-o-cresol","CWA"
"53469-21-9","106. PCB-1242 (Arochlor 1242)","CWA"
"541-73-1","26. 1,3-dichlorobenzene","CWA"
"542-75-6","33. 1,3-dichloropropylene","CWA"
"56-23-5","6. Carbon tetrachloride","CWA"
"56-55-3","72. Benzo(a) anthracene","CWA"
"57-12-5","121. Cyanide, Total","CWA"
"58-89-9","104. Gamma-BHC","CWA"
"59-50-7","22. Parachlorometa cresol","CWA"
"60-57-1","90. Dieldrin","CWA"
"606-20-2","36. 2,6-dinitrotoluene","CWA"
"608-73-1","41. Hexachlorocyclohexane","CWA"
"62-75-9","61. N-nitrosodimethylamine","CWA"
"621-64-7","63. N-nitrosodi-n-propylamine","CWA"
"67-66-3","23. Chloroform","CWA"
"67-72-1","12. Hexachloroethane","CWA"
"7005-72-3","40. 4-chlorophenyl phenyl ether","CWA"
"71-43-2","4. Benzene","CWA"
"71-55-6","11. 1,1,1-trichloroethane","CWA"
"72-20-8","98. Endrin","CWA"
"72-20-8","99. Endrin aldehyde","CWA"
"72-43-5","Methoxychlor","SDWA"
"72-54-8","94. 4,4-DDD","CWA"
"72-55-9","93. 4,4-DDE","CWA"
"74-83-9","46. Methyl bromide","CWA"
"74-87-3","45. Methyl chloride","CWA"
"7439-92-1","122. Lead","CWA"
"7439-97-6","123. Mercury","CWA"
"7440-02-0","124. Nickel","CWA"
"7440-14-4","Radium 226 and Radium 228 (combined)","SDWA"
"7440-22-4","126. Silver","CWA"
"7440-36-0","114. Antimony","CWA"
"7440-38-2","115. Arsenic","CWA"
"7440-39-3","Barium","SDWA"
"7440-41-7","117. Beryllium","CWA"
"7440-43-9","118. Cadmium","CWA"
"7440-47-3","119. Chromium","CWA"
"7440-50-8","120. Copper","CWA"
"7440-61-1","Uranium","SDWA"
"7440-66-6","128. Zinc","CWA"
"75-00-3","16. Chloroethane","CWA"
"75-01-4","88. Vinyl chloride","CWA"
"75-09-2","44. Methylene chloride","CWA"
"75-25-2","47. Bromoform","CWA"
"75-25-2","Tribromomethane (Bromoform) ","SDWA"
"75-27-4","48. Dichlorobromomethane","CWA"
"75-27-4","Bromodichloromethane ","SDWA"
"75-34-3","13. 1,1-dichloroethane","CWA"
"75-35-4","29. 1,1-dichloroethylene","CWA"
"75-99-0","Dalapon","SDWA"
"76-03-9","Trichloroacetic acid (TCA) ","SDWA"
"76-44-8","100. Heptachlor","CWA"
"77-47-4","53. Hexachlorocyclopentadiene","CWA"
"7782-49-2","125. Selenium","CWA"
"7782-50-5","Chlorine (as Cl2)","SDWA"
"78-59-1","54. Isophorone","CWA"
"78-87-5","32. 1,2-dichloropropane","CWA"
"79-00-5","14. 1,1,2-trichloroethane","CWA"
"79-01-6","87. Trichloroethylene","CWA"
"79-06-1","Acrylamide","SDWA"
"79-08-3","Monobromoacetic acid","SDWA"
"79-11-8","Monochloroacetic acid","SDWA"
"79-34-5","15. 1,1,2,2-tetrachloroethane","CWA"
"79-43-6","Dichloroacetic acid (DCA) ","SDWA"
"8001-35-2","113. Toxaphene","CWA"
"83-32-9","1. Acenaphthene","CWA"
"84-66-2","70. Diethyl Phthalate","CWA"
"84-74-2","68. Di-N-Butyl Phthalate","CWA"
"85-00-7","Diquat","SDWA"
"85-01-8","81. Phenanthrene","CWA"
"85-68-7","67. Butyl benzyl phthalate","CWA"
"86-30-6","62. N-nitrosodiphenylamine","CWA"
"86-73-7","80. Fluorene","CWA"
"87-68-3","52. Hexachlorobutadiene","CWA"
"87-86-5","64. Pentachlorophenol","CWA"
"88-75-5","57. 2-nitrophenol","CWA"
"88-85-7","Dinoseb","SDWA"
"91-20-3","55. Naphthalene","CWA"
"91-58-7","20. 2-chloronaphthalene","CWA"
"91-94-1","28. 3,3-dichlorobenzidine","CWA"
"92-87-5","5. Benzidine","CWA"
"93-72-1","2,4,5-TP (Silvex)","SDWA"
"94-75-7","2,4-D (2,4-Dichlorophenoxyacetic acid)","SDWA"
"95-50-1","25. 1,2-dichlorobenzene","CWA"
"95-57-8","24. 2-chlorophenol","CWA"
"959-98-8","95. Alpha-endosulfan","CWA"
"96-12-8","1,2-Dibromo-3-chloropropane (DBCP)","SDWA"
"98-95-3","56. Nitrobenzene","CWA"
